"","Acidobacteriia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Acidimicrobiia","Actinobacteria","Coriobacteriia","uncultured","Fimbriimonadia","Bacteroidia","Chlorobia","Ignavibacteria","Caldisericia","Anaerolineae","Chloroflexia","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Babeliales","Campylobacteria","Chitinivibrionia","Fibrobacteria","Bacilli","Clostridia","Erysipelotrichia","Fusobacteriia","Gemmatimonadetes","ABY1","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","Phycisphaerae","Planctomycetacia","Alphaproteobacteria","Gammaproteobacteria","Leptospirae","Spirochaetia","Synergistia","Thermotogae","Verrucomicrobiae"
"2008-10-28",2,0,12,0,8134,4,22076,0,1077,0,0,0,6,0,0,0,5,3,0,13,0,0,259,629,19,0,3,0,0,0,0,116,22,365,10953,3239,0,0,3,0,47
"2009-02-04",158,0,106,0,4309,2,17025,0,1568,0,6,0,12,44,0,0,4,2,8,11,0,0,104,394,9,0,18,0,12,4,0,36,7,469,4938,3423,0,3,2,0,2
"2009-05-06",2,0,0,0,10806,7,46219,2,1483,0,7,0,0,8,0,0,6,0,15,2,11,0,62,1050,22,0,8,0,0,6,0,740,2,700,16014,6456,0,0,0,0,0
"2009-08-19",13,0,0,0,7997,12,26883,0,2967,0,76,0,128,54,0,0,0,0,0,56,7,2,135,492,52,0,24,0,9,4,2,67,4,528,14453,6804,2,0,0,0,18
"2009-10-28",6,0,3,0,5599,43,29571,0,1893,0,24,0,13,4,0,0,0,0,0,48,5,0,128,632,59,0,41,0,0,6,0,149,0,488,10131,6569,0,0,0,0,2
"2010-02-04",4,0,0,0,3496,0,8132,0,600,0,15,0,3,0,0,0,0,0,0,54,2,0,156,153,16,0,3,0,3,0,0,18,0,94,2325,932,14,0,0,0,0
"2010-05-06",7,0,0,0,8203,4,24715,4,5819,0,39,0,17,2,0,0,4,6,0,63,6,0,167,593,56,0,4,0,7,0,0,338,0,628,8003,6536,4,0,0,0,0
"2010-08-19",0,0,0,0,9361,0,5749,0,890,0,0,0,0,185,0,0,0,2,0,12,0,0,99,35,0,0,4,0,0,0,0,98,3,79,2035,1583,0,0,0,0,0
"2010-10-28",0,0,3,0,13448,12,24706,0,2384,0,0,0,3,0,3,0,18,4,0,82,0,0,399,732,44,0,0,0,0,0,0,97,9,425,18548,4852,0,0,0,0,41
"2011-02-04",0,0,0,0,3758,10,12673,0,619,0,5,0,5,10,0,0,3,2,0,13,0,0,201,478,35,0,2,0,0,0,0,7,0,195,5439,2069,0,0,0,0,29
"2012-02-04",0,4,0,0,3619,0,45578,0,322,0,0,0,0,10,0,0,0,51127,0,0,0,0,158,1890,0,0,0,0,3,0,0,8,11,505,14337,397,0,0,0,0,29
"2012-05-06",18,0,5,0,4894,13,22782,0,1623,0,10,0,8,43,4,2,11,13,2,9,29,0,388,585,13,0,89,0,14,8,0,159,0,781,4823,6350,0,0,0,0,2
"2012-10-28",0,0,0,0,1845,0,1332,0,152,0,0,0,21,0,0,0,0,0,0,13,0,0,41,16,0,0,10,0,0,0,0,0,0,6,289,221,13,0,0,0,0
"2013-02-04",12,0,0,0,15934,9,29230,0,1421,0,11,0,16,42,0,0,0,2,6,8,20,0,55,649,20,0,22,0,13,6,2,257,4,872,5794,2976,0,0,0,0,0
"2013-05-06",41,0,17,0,9069,7,28115,0,7642,0,19,0,4,11,0,0,159,6,0,298,13,3,258,552,33,0,15,0,11,0,0,59,0,329,11701,10570,61,0,0,0,9
"2013-08-19",51,0,21,0,12487,12,36126,0,4203,0,25,0,9,20,15,83,19,18,0,44,7,0,999,911,31,0,99,0,2,0,0,80,6,922,11581,18635,0,0,0,0,2
"2013-10-28",38,573,0,0,5951,1,29796,0,3823,0,0,0,0,136,0,0,297,3,0,52,0,0,979,189,5,0,0,0,38,0,0,6,149,520,10624,13170,0,0,0,0,13
