"","Acidobacteriia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Acidimicrobiia","Actinobacteria","Coriobacteriia","uncultured","Fimbriimonadia","Bacteroidia","Chlorobia","Ignavibacteria","Caldisericia","Anaerolineae","Chloroflexia","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Babeliales","Campylobacteria","Chitinivibrionia","Fibrobacteria","Bacilli","Clostridia","Erysipelotrichia","Fusobacteriia","Gemmatimonadetes","ABY1","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","Phycisphaerae","Planctomycetacia","Alphaproteobacteria","Gammaproteobacteria","Leptospirae","Spirochaetia","Synergistia","Thermotogae","Verrucomicrobiae"
"2009-05-06",10,0,0,0,9407,2,28296,0,2421,0,7,0,7,14,0,0,0,0,0,9,10,0,140,645,29,0,21,0,0,5,3,570,3,756,8757,4050,0,0,2,0,3
"2009-08-19",2,0,0,0,3320,0,15817,0,997,0,22,0,0,0,0,0,0,0,0,99,2,0,191,182,11,0,3,2,10,0,0,67,0,70,3773,1102,33,0,0,0,3
"2009-10-28",17,0,1,0,8682,5,40278,0,2159,0,5,0,316,44,0,0,12,2,180,52,29,0,52,967,15,0,69,0,99,0,0,1046,16,1200,6964,5880,4,0,0,0,12
"2010-02-04",2,0,0,0,4641,8,14387,0,1937,0,12,0,1,4,0,0,4,0,0,40,8,0,88,356,42,0,17,0,0,0,0,60,0,165,5705,4934,0,0,0,0,6
"2010-05-06",0,0,11,0,2790,3,5598,0,572,0,0,0,0,0,0,0,2,0,0,2,0,2,80,181,4,0,3,0,0,0,0,286,2,123,2250,1153,0,0,0,0,2
"2010-08-19",0,0,2,0,24440,9,32625,0,1287,0,0,0,16,76,0,0,0,0,4,105,3,0,54,751,22,0,23,0,0,0,0,15,8,676,10911,2184,0,0,0,0,0
"2010-10-28",10,0,0,0,6015,17,43588,0,4229,0,30,0,7,4,0,0,8,32,0,17,10,0,332,1076,124,0,21,0,24,2,0,59,0,740,11720,7444,7,0,2,0,0
"2011-02-04",10,0,2,0,13164,19,49737,0,3457,0,20,0,2,3,0,0,40,52,2,445,4,0,396,1692,70,0,9,0,0,0,0,79,8,1132,33281,14768,1,2,4,0,0
"2011-08-19",14,0,0,0,2407,4,10417,0,1418,0,38,0,0,0,3,0,6,0,0,68,2,2,84,598,10,0,21,0,0,0,0,6,0,168,2252,2561,30,4,0,0,2
"2011-10-28",29,0,93,0,9849,3,18219,0,2964,0,0,0,2,40,6,0,25,10,0,65,0,0,97,355,14,0,19,0,3,0,0,5,8,438,4659,4373,2,0,0,0,5
"2012-02-04",6,0,11,0,2771,3,6835,0,738,0,0,0,0,2,2,0,2,12,2,19,0,0,40,198,13,0,4,0,0,0,0,37,0,160,2083,1188,0,2,0,0,0
"2012-05-06",25,0,0,0,9107,4,32686,0,1367,0,39,0,10,14,2,0,4,3,2,33,24,0,145,831,18,0,7,0,2,3,2,239,12,682,7552,5602,2,0,0,0,4
"2012-08-19",0,0,0,0,2004,0,2125,0,119,0,0,0,0,0,0,0,2,0,0,2,3,0,184,36,0,0,5,0,0,0,0,6,0,2,567,514,5,0,0,0,0
"2012-10-28",9,0,0,0,4210,2,7693,0,759,0,5,0,4,0,0,0,0,0,0,52,0,0,252,170,31,0,0,0,0,0,0,8,0,92,2755,867,2,0,0,0,0
"2013-02-04",0,0,0,0,1086,0,1778,0,170,0,6,0,3,0,0,0,5,2,0,34,2,0,28,31,4,0,2,0,3,0,0,2,0,2,400,248,16,0,0,0,0
"2013-05-06",70,0,8,0,6615,12,49773,0,4720,0,8,0,11,58,0,0,113,9,15,111,21,0,164,1179,79,0,133,0,9,0,2,6,20,752,13991,19596,4,2,2,0,3
"2013-08-19",6,0,0,0,3254,12,19994,3,1513,0,24,0,20,2,0,0,2,3,0,43,20,0,130,723,41,0,28,5,2,0,0,2,0,593,5084,4123,0,0,0,0,0
"2013-10-28",0,0,0,0,16129,2,36084,0,3994,0,18,0,15,9,0,0,8,28,0,74,0,0,403,228,18,0,21,0,0,0,0,310,5,494,8094,4191,0,0,0,0,20
